Pcode,Locality,State,Price_Tier
6056,MILLENDON,WA,Tier 1
6056,RED HILL,WA,Tier 1
6056,STRATTON,WA,Tier 1
6056,SWAN VIEW,WA,Tier 1
6056,VIVEASH,WA,Tier 1
6056,WOODBRIDGE,WA,Tier 1
6057,HIGH WYCOMBE,WA,Tier 1
6057,MAIDA VALE,WA,Tier 1
6058,FORRESTFIELD,WA,Tier 1
6059,DIANELLA,WA,Tier 1
6060,JOONDANNA,WA,Tier 1
6060,TUART HILL,WA,Tier 1
6060,YOKINE,WA,Tier 1
6060,YOKINE SOUTH,WA,Tier 1
6061,BALGA,WA,Tier 1
6061,MIRRABOOKA,WA,Tier 1
6061,NOLLAMARA,WA,Tier 1
6061,WESTMINSTER,WA,Tier 1
6062,EMBLETON,WA,Tier 1
6062,MORLEY,WA,Tier 1
6062,NORANDA,WA,Tier 1
6063,BEECHBORO,WA,Tier 1
6063,BENNETT SPRINGS,WA,Tier 1
6064,ALEXANDER HEIGHTS,WA,Tier 1
6064,GIRRAWHEEN,WA,Tier 1
6064,KOONDOOLA,WA,Tier 1
6064,MARANGAROO,WA,Tier 1
6065,ASHBY,WA,Tier 1
6065,DARCH,WA,Tier 1
6065,HOCKING,WA,Tier 1
6065,KINGSWAY,WA,Tier 1
6065,LANDSDALE,WA,Tier 1
6065,MADELEY,WA,Tier 1
6065,PEARSALL,WA,Tier 1
6065,SINAGRA,WA,Tier 1
6065,TAPPING,WA,Tier 1
6065,WANGARA,WA,Tier 1
6065,WANGARA DC,WA,Tier 1
6065,WANNEROO,WA,Tier 1
6066,BALLAJURA,WA,Tier 1
6067,CULLACABARDEE,WA,Tier 1
6068,WHITEMAN,WA,Tier 1
6069,AVELEY,WA,Tier 1
6069,BELHUS,WA,Tier 1
6069,BRIGADOON,WA,Tier 1
6069,ELLENBROOK,WA,Tier 1
6069,THE VINES,WA,Tier 1
6069,UPPER SWAN,WA,Tier 1
6070,DARLINGTON,WA,Tier 1
6071,GLEN FORREST,WA,Tier 1
6071,HOVEA,WA,Tier 1
6072,MAHOGANY CREEK,WA,Tier 1
6073,MUNDARING,WA,Tier 1
6073,MUNDARING DC,WA,Tier 1
6074,SAWYERS VALLEY,WA,Tier 1
6076,BICKLEY,WA,Tier 1
6076,CARMEL,WA,Tier 1
6076,GOOSEBERRY HILL,WA,Tier 1
6076,HACKETTS GULLY,WA,Tier 1
6076,KALAMUNDA,WA,Tier 1
6076,LESMURDIE,WA,Tier 1
6076,PAULLS VALLEY,WA,Tier 1
6076,PICKERING BROOK,WA,Tier 1
6076,PIESSE BROOK,WA,Tier 1
6076,RESERVOIR,WA,Tier 1
6076,WALLISTON,WA,Tier 1
6077,GNANGARA,WA,Tier 1
6081,PARKERVILLE,WA,Tier 1
6081,STONEVILLE,WA,Tier 1
6082,BAILUP,WA,Tier 1
6082,MOUNT HELENA,WA,Tier 1
6083,GIDGEGANNUP,WA,Tier 1
6083,MORANGUP,WA,Tier 1
6084,AVON VALLEY NATIONAL PARK,WA,Tier 1
6084,BULLSBROOK,WA,Tier 1
6084,CHITTERING,WA,Tier 1
6084,LOWER CHITTERING,WA,Tier 1
6084,WALYUNGA NATIONAL PARK,WA,Tier 1
6090,MALAGA,WA,Tier 1
6100,BURSWOOD,WA,Tier 1
6100,LATHLAIN,WA,Tier 1
6100,VICTORIA PARK,WA,Tier 1
6101,CARLISLE,WA,Tier 1
6101,CARLISLE NORTH,WA,Tier 1
6101,CARLISLE SOUTH,WA,Tier 1
6101,EAST VICTORIA PARK,WA,Tier 1
6102,BENTLEY,WA,Tier 1
6102,BENTLEY DC,WA,Tier 1
6102,BENTLEY SOUTH,WA,Tier 1
6102,ST JAMES,WA,Tier 1
6103,RIVERVALE,WA,Tier 1
6104,ASCOT,WA,Tier 1
6104,BELMONT,WA,Tier 1
6104,REDCLIFFE,WA,Tier 1
6105,CLOVERDALE,WA,Tier 1
6105,KEWDALE,WA,Tier 1
6105,PERTH AIRPORT,WA,Tier 1
6106,WELSHPOOL,WA,Tier 1
6107,BECKENHAM,WA,Tier 1
6107,CANNINGTON,WA,Tier 1
6107,EAST CANNINGTON,WA,Tier 1
6107,KENWICK,WA,Tier 1
6107,QUEENS PARK,WA,Tier 1
6107,WATTLE GROVE,WA,Tier 1
6107,WILSON,WA,Tier 1
6108,THORNLIE,WA,Tier 1
6109,MADDINGTON,WA,Tier 1
6109,ORANGE GROVE,WA,Tier 1
6110,GOSNELLS,WA,Tier 1
6110,HUNTINGDALE,WA,Tier 1
6110,MARTIN,WA,Tier 1
6110,SOUTHERN RIVER,WA,Tier 1
6111,ASHENDON,WA,Tier 1
6111,CAMILLO,WA,Tier 1
6111,CANNING MILLS,WA,Tier 1
6111,CHAMPION LAKES,WA,Tier 1
6111,KARRAGULLEN,WA,Tier 1
6111,KELMSCOTT,WA,Tier 1
6111,KELMSCOTT DC,WA,Tier 1
6111,LESLEY,WA,Tier 1
6111,ROLEYSTONE,WA,Tier 1
6112,ARMADALE,WA,Tier 1
6112,BEDFORDALE,WA,Tier 1
6112,BROOKDALE,WA,Tier 1
6112,FORRESTDALE,WA,Tier 1
6112,HARRISDALE,WA,Tier 1
6112,HAYNES,WA,Tier 1
6112,HILBERT,WA,Tier 1
6112,MOUNT NASURA,WA,Tier 1
6112,MOUNT RICHON,WA,Tier 1
6112,PIARA WATERS,WA,Tier 1
6112,SEVILLE GROVE,WA,Tier 1
6112,WUNGONG,WA,Tier 1
6121,OAKFORD,WA,Tier 1
6121,OLDBURY,WA,Tier 1
6122,BYFORD,WA,Tier 1
6122,CARDUP,WA,Tier 1
6122,DARLING DOWNS,WA,Tier 1
6122,KARRAKUP,WA,Tier 1
6123,MUNDIJONG,WA,Tier 1
6123,WHITBY,WA,Tier 1
6124,JARRAHDALE,WA,Tier 1
6125,HOPELAND,WA,Tier 1
6125,MARDELLA,WA,Tier 1
6125,SERPENTINE,WA,Tier 1
6126,KEYSBROOK,WA,Tier 1
6147,LANGFORD,WA,Tier 1
6147,LYNWOOD,WA,Tier 1
6147,PARKWOOD,WA,Tier 1
6148,FERNDALE,WA,Tier 1
6148,RIVERTON,WA,Tier 1
6148,ROSSMOYNE,WA,Tier 1
6148,SHELLEY,WA,Tier 1
6149,BULL CREEK,WA,Tier 1
6149,LEEMING,WA,Tier 1
6150,BATEMAN,WA,Tier 1
6150,MURDOCH,WA,Tier 1
6150,WINTHROP,WA,Tier 1
6151,KENSINGTON,WA,Tier 1
6151,SOUTH PERTH,WA,Tier 1
6151,SOUTH PERTH ANGELO ST,WA,Tier 1
6152,COMO,WA,Tier 1
6152,KARAWARA,WA,Tier 1
6152,MANNING,WA,Tier 1
6152,SALTER POINT,WA,Tier 1
6152,WATERFORD,WA,Tier 1
6153,APPLECROSS,WA,Tier 1
6153,APPLECROSS NORTH,WA,Tier 1
6153,ARDROSS,WA,Tier 1
6153,BRENTWOOD,WA,Tier 1
6153,CANNING BRIDGE APPLECROSS,WA,Tier 1
6153,MOUNT PLEASANT,WA,Tier 1
6154,ALFRED COVE,WA,Tier 1
6154,BOORAGOON,WA,Tier 1
6154,MYAREE,WA,Tier 1
6155,CANNING VALE,WA,Tier 1
6155,CANNING VALE DC,WA,Tier 1
6155,CANNING VALE SOUTH,WA,Tier 1
6155,WILLETTON,WA,Tier 1
6156,ATTADALE,WA,Tier 1
6156,MELVILLE,WA,Tier 1
6156,WILLAGEE,WA,Tier 1
6156,WILLAGEE CENTRAL,WA,Tier 1
6157,BICTON,WA,Tier 1
6157,PALMYRA,WA,Tier 1
6157,PALMYRA DC,WA,Tier 1
6158,EAST FREMANTLE,WA,Tier 1
6159,NORTH FREMANTLE,WA,Tier 1
6160,FREMANTLE,WA,Tier 1
6161,ROTTNEST ISLAND,WA,Tier 1
6162,BEACONSFIELD,WA,Tier 1
6162,SOUTH FREMANTLE,WA,Tier 1
6162,WHITE GUM VALLEY,WA,Tier 1
6163,BIBRA LAKE,WA,Tier 1
6163,BIBRA LAKE DC,WA,Tier 1
6163,COOLBELLUP,WA,Tier 1
6163,HAMILTON HILL,WA,Tier 1
6163,HILTON,WA,Tier 1
6163,KARDINYA,WA,Tier 1
6163,NORTH COOGEE,WA,Tier 1
6163,NORTH LAKE,WA,Tier 1
6163,O'CONNOR,WA,Tier 1
6163,SAMSON,WA,Tier 1
6163,SPEARWOOD,WA,Tier 1
6164,ATWELL,WA,Tier 1
6164,AUBIN GROVE,WA,Tier 1
6164,BANJUP,WA,Tier 1
6164,BEELIAR,WA,Tier 1
6164,COCKBURN CENTRAL,WA,Tier 1
6164,HAMMOND PARK,WA,Tier 1
6164,JANDAKOT,WA,Tier 1
6164,SOUTH LAKE,WA,Tier 1
6164,SUCCESS,WA,Tier 1
6164,TREEBY,WA,Tier 1
6164,YANGEBUP,WA,Tier 1
6165,HOPE VALLEY,WA,Tier 1
6165,NAVAL BASE,WA,Tier 1
6166,COOGEE,WA,Tier 1
6166,HENDERSON,WA,Tier 1
6166,MUNSTER,WA,Tier 1
6166,WATTLEUP,WA,Tier 1
6167,ANKETELL,WA,Tier 1
6167,BERTRAM,WA,Tier 1
6167,CALISTA,WA,Tier 1
6167,CASUARINA,WA,Tier 1
6167,KWINANA BEACH,WA,Tier 1
6167,KWINANA TOWN CENTRE,WA,Tier 1
6167,MANDOGALUP,WA,Tier 1
6167,MEDINA,WA,Tier 1
6167,ORELIA,WA,Tier 1
6167,PARMELIA,WA,Tier 1
6167,POSTANS,WA,Tier 1
6167,THE SPECTACLES,WA,Tier 1
6167,WANDI,WA,Tier 1
6168,COOLOONGUP,WA,Tier 1
6168,EAST ROCKINGHAM,WA,Tier 1
6168,GARDEN ISLAND,WA,Tier 1
6168,HILLMAN,WA,Tier 1
6168,PERON,WA,Tier 1
6168,ROCKINGHAM,WA,Tier 1
6168,ROCKINGHAM BEACH,WA,Tier 1
6168,ROCKINGHAM DC,WA,Tier 1
6169,SAFETY BAY,WA,Tier 1
6169,SHOALWATER,WA,Tier 1
6169,WAIKIKI,WA,Tier 1
6169,WARNBRO,WA,Tier 1
6170,LEDA,WA,Tier 1
6170,WELLARD,WA,Tier 1
6171,BALDIVIS,WA,Tier 1
6172,PORT KENNEDY,WA,Tier 1
6173,SECRET HARBOUR,WA,Tier 1
6174,GOLDEN BAY,WA,Tier 1
6175,SINGLETON,WA,Tier 1
6176,KARNUP,WA,Tier 1
6180,LAKELANDS,WA,Tier 1
6180,PARKLANDS,WA,Tier 1
6181,STAKE HILL,WA,Tier 1
6182,KERALUP,WA,Tier 1
6210,COODANUP,WA,Tier 1
6210,DUDLEY PARK,WA,Tier 1
6210,ERSKINE,WA,Tier 1
6210,FALCON,WA,Tier 1
6210,GREENFIELDS,WA,Tier 1
6210,HALLS HEAD,WA,Tier 1
6210,MADORA BAY,WA,Tier 1
6210,MANDURAH,WA,Tier 1
6210,MANDURAH DC,WA,Tier 1
6210,MANDURAH EAST,WA,Tier 1
6210,MANDURAH NORTH,WA,Tier 1
6210,MEADOW SPRINGS,WA,Tier 1
6210,SAN REMO,WA,Tier 1
6210,SILVER SANDS,WA,Tier 1
6210,WANNANUP,WA,Tier 1
6800,PERTH,WA,Tier 1
6809,PERTH,WA,Tier 1
6827,PERTH,WA,Tier 1
6830,PERTH,WA,Tier 1
6831,PERTH ST GEORGES TCE,WA,Tier 1
6837,PERTH,WA,Tier 1
6838,PERTH,WA,Tier 1
6839,PERTH,WA,Tier 1
6840,PERTH,WA,Tier 1
6841,PERTH,WA,Tier 1
6842,PERTH,WA,Tier 1
6843,PERTH,WA,Tier 1
6844,PERTH,WA,Tier 1
6845,PERTH,WA,Tier 1
6846,PERTH,WA,Tier 1
6847,PERTH,WA,Tier 1
6848,PERTH,WA,Tier 1
6849,PERTH BC,WA,Tier 1
6850,CLOISTERS SQUARE PO,WA,Tier 1
6865,NORTHBRIDGE,WA,Tier 1
6872,WEST PERTH,WA,Tier 1
6892,EAST PERTH,WA,Tier 1
6900,LEEDERVILLE,WA,Tier 1
6901,WEST LEEDERVILLE,WA,Tier 1
6902,LEEDERVILLE,WA,Tier 1
6903,LEEDERVILLE,WA,Tier 1
6904,SUBIACO PO,WA,Tier 1
6905,NORTHLANDS PO,WA,Tier 1
6906,NORTH PERTH,WA,Tier 1
6907,NEDLANDS,WA,Tier 1
6909,NEDLANDS,WA,Tier 1
6910,CLAREMONT,WA,Tier 1
6911,COTTESLOE,WA,Tier 1
6912,MOSMAN PARK,WA,Tier 1
6913,WEMBLEY,WA,Tier 1
6914,BALCATTA,WA,Tier 1
6915,MOUNT HAWTHORN,WA,Tier 1
6916,OSBORNE PARK,WA,Tier 1
6916,OSBORNE PARK DC,WA,Tier 1
6917,OSBORNE PARK,WA,Tier 1
6918,INNALOO,WA,Tier 1
6919,JOONDALUP DC,WA,Tier 1
6920,NORTH BEACH,WA,Tier 1
6921,KARRINYUP,WA,Tier 1
6922,SCARBOROUGH,WA,Tier 1
6923,HILLARYS,WA,Tier 1
6924,GREENWOOD,WA,Tier 1
6925,WALLISTON DC,WA,Tier 1
6926,KALAMUNDA,WA,Tier 1
6929,MOUNT LAWLEY,WA,Tier 1
6931,MAYLANDS,WA,Tier 1
6932,INGLEWOOD,WA,Tier 1
6933,BAYSWATER,WA,Tier 1
6934,BASSENDEAN,WA,Tier 1
6935,GUILDFORD,WA,Tier 1
6936,MIDLAND DC,WA,Tier 1
6939,TUART HILL,WA,Tier 1
6941,MIRRABOOKA,WA,Tier 1
6942,BASSENDEAN DC,WA,Tier 1
6943,MORLEY,WA,Tier 1
6944,MALAGA,WA,Tier 1
6945,MALAGA DC,WA,Tier 1
6946,WANNEROO,WA,Tier 1
6947,WANGARA DC,WA,Tier 1
6951,SOUTH PERTH,WA,Tier 1
6952,COMO,WA,Tier 1
6953,APPLECROSS,WA,Tier 1
6954,BOORAGOON,WA,Tier 1
6955,WILLETTON,WA,Tier 1
6956,MELVILLE,WA,Tier 1
6957,PALMYRA,WA,Tier 1
6958,ROYAL AUSTRALIAN NAVY WARSHIPS,WA,Tier 1
6959,FREMANTLE,WA,Tier 1
6960,MYAREE BC,WA,Tier 1
6961,PALMYRA DC,WA,Tier 1
6963,HAMILTON HILL,WA,Tier 1
6964,SUCCESS,WA,Tier 1
6965,BIBRA LAKE DC,WA,Tier 1
6966,KWINANA,WA,Tier 1
6967,ROCKINGHAM DC,WA,Tier 1
6968,ROCKINGHAM,WA,Tier 1
6969,ROCKINGHAM BEACH,WA,Tier 1
6970,CANNING VALE DC,WA,Tier 1
6979,VICTORIA PARK,WA,Tier 1
6981,EAST VICTORIA PARK,WA,Tier 1
6982,BENTLEY,WA,Tier 1
6983,BENTLEY DC,WA,Tier 1
6984,BELMONT,WA,Tier 1
6985,CLOVERDALE,WA,Tier 1
6986,WELSHPOOL DC,WA,Tier 1
6987,CANNINGTON,WA,Tier 1
6988,THORNLIE,WA,Tier 1
6989,MADDINGTON,WA,Tier 1
6990,GOSNELLS,WA,Tier 1
6991,KELMSCOTT,WA,Tier 1
6992,ARMADALE,WA,Tier 1
6997,KELMSCOTT DC,WA,Tier 1
6010,KARRAKATTA,WA,Tier 1
6025,KALLAROO,WA,Tier 1
6032,NOWERGUP,WA,Tier 1
6033,CARABOODA,WA,Tier 1
6041,CARABAN,WA,Tier 1
6041,GABBADAH,WA,Tier 1
6041,GUILDERTON,WA,Tier 1
6041,WILBINGA,WA,Tier 1
6041,WOODRIDGE,WA,Tier 1
6042,SEABIRD,WA,Tier 1
6043,BRETON BAY,WA,Tier 1
6043,LEDGE POINT,WA,Tier 1
6044,KARAKIN,WA,Tier 1
6044,LANCELIN,WA,Tier 1
6044,NILGEN,WA,Tier 1
6044,WEDGE ISLAND,WA,Tier 1
6077,JANDABUP,WA,Tier 1
6078,MARIGINIUP,WA,Tier 1
6078,PINJAR,WA,Tier 1
6079,LEXIA,WA,Tier 1
6079,MELALEUCA,WA,Tier 1
6208,BLYTHEWOOD,WA,Tier 2
6208,FAIRBRIDGE,WA,Tier 2
6208,MEELON,WA,Tier 2
6208,NIRIMBA,WA,Tier 2
6208,NORTH YUNDERUP,WA,Tier 2
6208,OAKLEY,WA,Tier 2
6208,PINJARRA,WA,Tier 2
6208,POINT GREY,WA,Tier 2
6208,RAVENSWOOD,WA,Tier 2
6208,SOUTH YUNDERUP,WA,Tier 2
6208,WEST PINJARRA,WA,Tier 2
6209,BARRAGUP,WA,Tier 2
6209,FURNISSDALE,WA,Tier 2
6230,BUNBURY,WA,Tier 2
6230,CAREY PARK,WA,Tier 2
6230,COLLEGE GROVE,WA,Tier 2
6230,DALYELLUP,WA,Tier 2
6230,DAVENPORT,WA,Tier 2
6230,EAST BUNBURY,WA,Tier 2
6230,GELORUP,WA,Tier 2
6230,GLEN IRIS,WA,Tier 2
6230,PELICAN POINT,WA,Tier 2
6230,SOUTH BUNBURY,WA,Tier 2
6230,USHER,WA,Tier 2
6230,VITTORIA,WA,Tier 2
6230,WITHERS,WA,Tier 2
6231,BUNBURY,WA,Tier 2
6232,EATON,WA,Tier 2
6232,MILLBRIDGE,WA,Tier 2
6233,AUSTRALIND,WA,Tier 2
6233,BINNINGUP,WA,Tier 2
6233,LESCHENAULT,WA,Tier 2
6233,PARKFIELD,WA,Tier 2
6233,WELLESLEY,WA,Tier 2
6236,CROOKED BROOK,WA,Tier 2
6236,DARDANUP,WA,Tier 2
6236,DARDANUP WEST,WA,Tier 2
6236,FERGUSON,WA,Tier 2
6236,HENTY,WA,Tier 2
6236,PARADISE,WA,Tier 2
6236,WELLINGTON FOREST,WA,Tier 2
6236,WELLINGTON MILL,WA,Tier 2
6237,BOYANUP,WA,Tier 2
6237,ELGIN,WA,Tier 2
6237,GWINDINUP,WA,Tier 2
6237,NORTH BOYANUP,WA,Tier 2
6237,STRATHAM,WA,Tier 2
6237,THE PLAINS,WA,Tier 2
6239,ARGYLE,WA,Tier 2
6239,BEELERUP,WA,Tier 2
6239,BROOKHAMPTON,WA,Tier 2
6239,CHARLEY CREEK,WA,Tier 2
6239,DONNYBROOK,WA,Tier 2
6239,GLEN MERVYN,WA,Tier 2
6239,PAYNEDALE,WA,Tier 2
6239,QUEENWOOD,WA,Tier 2
6239,THOMSON BROOK,WA,Tier 2
6239,UPPER CAPEL,WA,Tier 2
6239,YABBERUP,WA,Tier 2
6207,MYARA,WA,Tier 2
6207,NAMBEELUP,WA,Tier 2
6207,NORTH DANDALUP,WA,Tier 2
6207,SOLUS,WA,Tier 2
6207,WHITTAKER,WA,Tier 2
6211,BOUVARD,WA,Tier 2
6211,CLIFTON,WA,Tier 2
6211,DAWESVILLE,WA,Tier 2
6211,HERRON,WA,Tier 2
6213,BANKSIADALE,WA,Tier 2
6213,DWELLINGUP,WA,Tier 2
6213,ETMILYN,WA,Tier 2
6213,HOLYOAKE,WA,Tier 2
6213,INGLEHOPE,WA,Tier 2
6213,MARRINUP,WA,Tier 2
6213,TEESDALE,WA,Tier 2
6214,BIRCHMONT,WA,Tier 2
6214,COOLUP,WA,Tier 2
6214,WEST COOLUP,WA,Tier 2
6215,HAMEL,WA,Tier 2
6215,LAKE CLIFTON,WA,Tier 2
6215,NANGA BROOK,WA,Tier 2
6215,PRESTON BEACH,WA,Tier 2
6215,WAGERUP,WA,Tier 2
6215,WAROONA,WA,Tier 2
6218,YARLOOP,WA,Tier 2
6220,COOKERNUP,WA,Tier 2
6220,HARVEY,WA,Tier 2
6220,HOFFMAN,WA,Tier 2
6220,MYALUP,WA,Tier 2
6220,UDUC,WA,Tier 2
6220,WARAWARRUP,WA,Tier 2
6221,MORNINGTON,WA,Tier 2
6221,WOKALUP,WA,Tier 2
6223,BENGER,WA,Tier 2
6224,BEELA,WA,Tier 2
6224,BRUNSWICK,WA,Tier 2
6225,ALLANSON,WA,Tier 2
6225,BOWELLING,WA,Tier 2
6225,BUCKINGHAM,WA,Tier 2
6225,CARDIFF,WA,Tier 2
6225,COLLIE,WA,Tier 2
6225,COLLIE BURN,WA,Tier 2
6225,HARRIS RIVER,WA,Tier 2
6225,LYALLS MILL,WA,Tier 2
6225,MCALINDEN,WA,Tier 2
6225,MUJA,WA,Tier 2
6225,MUMBALLUP,WA,Tier 2
6225,MUNGALUP,WA,Tier 2
6225,NOGGERUP,WA,Tier 2
6225,PALMER,WA,Tier 2
6225,PRESTON SETTLEMENT,WA,Tier 2
6225,SHOTTS,WA,Tier 2
6225,WORSLEY,WA,Tier 2
6225,YOURDAMUNG LAKE,WA,Tier 2
6226,ROELANDS,WA,Tier 2
6227,BUREKUP,WA,Tier 2
6228,WATERLOO,WA,Tier 2
6229,PICTON,WA,Tier 2
6229,PICTON EAST,WA,Tier 2
6330,ALBANY,WA,Tier 3
6330,BAYONET HEAD,WA,Tier 3
6330,BIG GROVE,WA,Tier 3
6330,BORNHOLM,WA,Tier 3
6330,CENTENNIAL PARK,WA,Tier 3
6330,COLLINGWOOD HEIGHTS,WA,Tier 3
6330,COLLINGWOOD PARK,WA,Tier 3
6330,CUTHBERT,WA,Tier 3
6330,DROME,WA,Tier 3
6330,ELLEKER,WA,Tier 3
6330,EMU POINT,WA,Tier 3
6330,FRENCHMAN BAY,WA,Tier 3
6330,GLEDHOW,WA,Tier 3
6330,GOODE BEACH,WA,Tier 3
6330,GREEN VALLEY,WA,Tier 3
6330,KALGAN,WA,Tier 3
6330,KING RIVER,WA,Tier 3
6330,KRONKUP,WA,Tier 3
6330,LANGE,WA,Tier 3
6330,LITTLE GROVE,WA,Tier 3
6330,LOCKYER,WA,Tier 3
6330,LOWER KING,WA,Tier 3
6330,LOWLANDS,WA,Tier 3
6330,MARBELUP,WA,Tier 3
6330,MCKAIL,WA,Tier 3
6330,MIDDLETON BEACH,WA,Tier 3
6330,MILLBROOK,WA,Tier 3
6330,MILPARA,WA,Tier 3
6330,MIRA MAR,WA,Tier 3
6330,MOUNT CLARENCE,WA,Tier 3
6330,MOUNT ELPHINSTONE,WA,Tier 3
6330,MOUNT MELVILLE,WA,Tier 3
6330,NANARUP,WA,Tier 3
6330,NAPIER,WA,Tier 3
6330,NULLAKI,WA,Tier 3
6330,ORANA,WA,Tier 3
6330,PORT ALBANY,WA,Tier 3
6330,ROBINSON,WA,Tier 3
6330,SANDPATCH,WA,Tier 3
6330,SEPPINGS,WA,Tier 3
6330,SPENCER PARK,WA,Tier 3
6330,TORBAY,WA,Tier 3
6330,TORNDIRRUP,WA,Tier 3
6330,VANCOUVER PENINSULA,WA,Tier 3
6330,WALMSLEY,WA,Tier 3
6330,WARRENUP,WA,Tier 3
6330,WEST CAPE HOWE,WA,Tier 3
6330,WILLYUNG,WA,Tier 3
6330,YAKAMIA,WA,Tier 3
6330,YOUNGS SIDING,WA,Tier 3
6331,ALBANY DC,WA,Tier 3
6332,ALBANY PO,WA,Tier 3
